9786270541001,Gilead,247,Marilynne Robinson,2004,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,160063
9788681968609,Spider's Web,241,Charles Osborne;Agatha Christie,2000,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,799602
9786179030675,The One Tree,479,Stephen R. Donaldson,1982,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,760476
9789055012285,Rage of angels,512,Sidney Sheldon,1993,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1280265
9788440912299,The Four Loves,170,Clive Staples Lewis,2002,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,580731
9789648965287,The Problem of Pain,176,Clive Staples Lewis,2002,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1128976
9789645402556,An Autobiography,560,Agatha Christie,1977,http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,960139
9781783282374,Empires of the Monsoon,608,Richard Hall,1998,http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2134170
9787651261256,The Gap Into Madness,743,Stephen R. Donaldson,1994,http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1285007
9788368625353,Master of the Game,489,Sidney Sheldon,1982,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1351404
9783695062280,If Tomorrow Comes,501,Sidney Sheldon,1994,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,474260
9781377813380,Assassin's Apprentice,460,Robin Hobb,1996,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,378697
9788762447563,Warhost of Vastmark,522,Janny Wurts,1995,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1128976
9789498156632,The Once and Future King,823,Terence Hanbury White,1996,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,678192
9788635134178,Murder in LaMut,337,Raymond E. Feist;Joel Rosenberg,2003,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,948283
9782787371549,Jimmy the Hand,368,Raymond E. Feist;S. M. Stirling,2003,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,592588
9787762673882,Well of Darkness,599,Margaret Weis;Tracy Hickman,2001,http://books.google.com/books/content?id=XrwaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1128976
9781933342042,Witness for the Prosecution & Selected Plays,352,Agatha Christie,1995,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,253492
9784217372335,The Little House,368,Philippa Gregory,1998,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,459558
9789003515880,Mystical Paths,576,Susan Howatch,1996,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1185413
9789055769060,Glittering Images,512,Susan Howatch,1996,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,711153
9789267620102,Glamorous Powers,512,Susan Howatch,1996,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,573855
9787078446974,The Mad Ship,906,Robin Hobb,2000,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,236893
9781814042105,Post Captain,474,Patrick O'Brian,1996,http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1626475
9782783882206,The Reverse of the Medal,261,Patrick O'Brian,1997,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1231890
9784479170769,Miss Marple,359,Agatha Christie,1997,http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,711153
9781642132447,The Years of Rice and Salt,772,Kim Stanley Robinson,2003,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1209126
9782271852030,Spares,317,Michael Marshall Smith,1998,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,378697
9789616002061,Gravity,342,Tess Gerritsen,2004,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1128976
9784969620710,The Wise Woman,640,Philippa Gregory,2002,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1303978
9785894932492,Girls' Night in,586,Jessica Adams;Chris Manby;Fiona Walker,2000,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,254678
9783996288744,The White Album,224,Joan Didion,1993,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,331745
9784157968023,The Bonesetter's Daughter,352,Amy Tan,2001,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,23476
9784924036538,The Lexus and the Olive Tree,352,Thomas L. Friedman,2000,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,687440
9787694800498,'Tis,495,Frank McCourt,2000,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1128976
9789386689856,Ocean Star Express,32,Mark Haddon;Peter Sutton,2002,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1054991
9781650455078,A Small Pinch of Weather,239,Joan Aiken,2000,http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,663727
9789345855886,The Princess of the Chalet School,159,Elinor Mary Brent-Dyer,2000,http://books.google.com/books/content?id=EJcQPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,877144
9785148795260,Koko,634,Peter Straub,2001,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1403810
9788203022842,Tree and Leaf,176,John Ronald Reuel Tolkien,2001,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,782292
9786580412019,Partners in Crime,347,Agatha Christie,2001,http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,331982
9788361389952,Murder in Mesopotamia,264,Agatha Christie,2001,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,971996
9787274721446,"The Lord of the Rings, the Return of the King",72,Jude Fisher,2003,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1066848
9786400445146,All Families are Psychotic,279,Douglas Coupland,2002,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1185413
9782993098206,Death in the Clouds,333,Agatha Christie,2001,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,663727
9782072137631,Appointment with Death,303,Agatha Christie,2001,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1311803
9782841378864,Hallowe'en Party,336,Agatha Christie,2001,http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2513341
9789871204595,Hercule Poirot's Christmas,335,Agatha Christie,2001,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,758579
9786770937009,The Big Four,272,Agatha Christie,2002,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1784166
9782266861789,The Thirteen Problems,315,Agatha Christie,2002,http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,828769
9785442436752,They Do it with Mirrors,284,Agatha Christie,2002,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,40075
9785771635393,A Murder is Announced,382,Agatha Christie,2002,http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1128976
9788861564461,The Mirror Crack'd from Side to Side,351,Agatha Christie,2002,http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,734866
9789227754372,Mrs McGinty's Dead,328,Agatha Christie,2002,http://books.google.com/books/content?id=gcS0d5HhGEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1238056
9784572448577,Taken at the Flood,352,Agatha Christie,2002,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,535440
9785432142992,The Hollow,384,Agatha Christie,2002,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1128976
9783610834092,Third Girl,365,Agatha Christie,2002,http://books.google.com/books/content?id=Dbh7nUkG_6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,710204
9784152959720,The Secret of Chimneys,400,Agatha Christie,2001,http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2323637
9784249818625,The Metaphysical Club,560,Louis Menand,2002,http://books.google.com/books/content?id=C3Gkwi3SfmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1161700
9784238660528,The illustrated man,186,Ray Bradbury,2002,http://books.google.com/books/content?id=kePqlVft1bQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1705202
9784782412738,Wilkins' Tooth,207,Diana Wynne Jones,2002,http://books.google.com/books/content?id=lXUSHqQfOD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,628157
9785531075369,Cut,173,Patricia McCormick,2002,http://books.google.com/books/content?id=Q140Mlie138C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1636197
9786654339843,The Lord of the Rings,224,Gary Russell,2004,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,436082
